Thread Number,Bytes Sent,IPAddress
26460,8,192.168.0.13:44912
25406,8,192.168.0.13:44890
63657,8,192.168.0.13:44850
33712,8,192.168.0.13:45004
33891,8,192.168.0.13:44962
36433,8,192.168.0.13:45026
88629,8,192.168.0.13:44856
36405,8,192.168.0.13:45032
33938,8,192.168.0.13:44952
31871,8,192.168.0.13:44898
88647,8,192.168.0.13:44854
36478,8,192.168.0.13:45008
36540,8,192.168.0.13:45000
36667,8,192.168.0.13:44968
28893,8,192.168.0.13:44940
34967,8,192.168.0.13:44958
36483,8,192.168.0.13:45018
27787,8,192.168.0.13:44874
30565,8,192.168.0.13:44886
29977,8,192.168.0.13:44930
26968,8,192.168.0.13:44892
25394,8,192.168.0.13:44926
36886,8,192.168.0.13:44896
26178,8,192.168.0.13:44924
29977,8,192.168.0.13:44946
39911,8,192.168.0.13:44956
52875,8,192.168.0.13:44760
26972,8,192.168.0.13:44882
240912,8,192.168.0.13:44948
25317,8,192.168.0.13:45250
72216,8,192.168.0.13:44976
71986,8,192.168.0.13:45056
72097,8,192.168.0.13:44998
72061,8,192.168.0.13:45024
72314,8,192.168.0.13:44980
72135,8,192.168.0.13:45050
72004,8,192.168.0.13:45054
71805,8,192.168.0.13:45080
72297,8,192.168.0.13:44984
71970,8,192.168.0.13:45068
71854,8,192.168.0.13:45072
72353,8,192.168.0.13:44966
71836,8,192.168.0.13:45074
71955,8,192.168.0.13:45052
72007,8,192.168.0.13:45038
71984,8,192.168.0.13:45036
72075,8,192.168.0.13:44992
72425,8,192.168.0.13:44970
72021,8,192.168.0.13:45070
72367,8,192.168.0.13:45014
72275,8,192.168.0.13:45020
25367,8,192.168.0.13:44938
72079,8,192.168.0.13:45042
29969,8,192.168.0.13:44932
71806,8,192.168.0.13:45076
72131,8,192.168.0.13:45044
72139,8,192.168.0.13:45040
72200,8,192.168.0.13:44974
71938,8,192.168.0.13:45028
72313,8,192.168.0.13:45006
72120,8,192.168.0.13:45058
72144,8,192.168.0.13:45078
72155,8,192.168.0.13:45016
71762,8,192.168.0.13:45082
72403,8,192.168.0.13:44988
72300,8,192.168.0.13:45034
72304,8,192.168.0.13:44964
72172,8,192.168.0.13:45066
72297,8,192.168.0.13:45002
25434,8,192.168.0.13:44914
71805,8,192.168.0.13:45064
72483,8,192.168.0.13:44960
306893,8,192.168.0.13:44872
28008,8,192.168.0.13:45112
27022,8,192.168.0.13:45204
72389,8,192.168.0.13:45010
27017,8,192.168.0.13:45200
27005,8,192.168.0.13:45218
27994,8,192.168.0.13:45240
25403,8,192.168.0.13:45154
25405,8,192.168.0.13:45234
28988,8,192.168.0.13:45196
28994,8,192.168.0.13:45220
29137,8,192.168.0.13:45244
27194,8,192.168.0.13:45306
28238,8,192.168.0.13:45130
26011,8,192.168.0.13:45284
32248,8,192.168.0.13:45210
32289,8,192.168.0.13:45342
